region_grouped,n
Unknown/No comma,2802
Indonesia,1387
Japan,856
Philippines,771
Papua New Guinea,609
Other,607
Tonga,602
Chile,537
Taiwan,429
Vanuatu,425
Russia,386
China,368
Alaska,345
Japan region,336
Mexico,269
Fiji,258
Peru,254
Argentina,248
Northern Mariana Islands,237
New Zealand,211
Timor Leste,186
Solomon Islands,184
Afghanistan,175
Greece,158
Guam,135
Iran,125
India,106
Colombia,105
Ethiopia,100
Turkey,98
Tajikistan,89
El Salvador,85
Guatemala,75
Canada,70
Nicaragua,67
Kyrgyzstan,62
CA,54
Myanmar,48
Bolivia,46
Ecuador,44
Panama,41
New Caledonia,41
Wallis and Futuna,40
Micronesia,38
Pakistan,34
Costa Rica,33
